Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2024-06-18,3307.410400390625,1438.00390625,6201.80224609375,2882.372802734375,1189.9639892578125,9673.046875,1596.164794921875,725.3306274414062,313.57659912109375,1408.657958984375,1545.0546875,429.9800720214844,1183.68896484375,4819.51513671875,188.61000061035156,2439.2685546875,1355.255615234375,793.1785888671875,597.5108642578125,669.968017578125,2413.10791015625,1104.7418212890625,4294.99169921875,1438.7542724609375,390.8893737792969,362.634521484375,915.6918334960938,343.10791015625,3626.602783203125,2916.935546875,12310.1796875,900.4509887695312,1249.5604248046875,352.38934326171875,248.46099853515625,310.5089416503906,1470.1439208984375,1468.709228515625,828.2687377929688,550.6241455078125,1492.4202880859375,1118.6094970703125,173.49685668945312,3603.84619140625,1296.896240234375,3566.561279296875,5352.962890625,10983.875,230.53025817871094
2024-06-19,3260.28369140625,1441.387451171875,6139.35009765625,2855.904296875,1224.6573486328125,9446.390625,1593.1182861328125,715.367431640625,304.7580261230469,1373.154296875,1530.3380126953125,420.2208557128906,1176.7640380859375,4765.47216796875,198.49000549316406,2428.946044921875,1363.41259765625,817.869873046875,592.54150390625,653.82958984375,2384.718505859375,1125.993408203125,4220.8671875,1451.382568359375,386.23974609375,357.74212646484375,905.400390625,348.5556640625,3529.037109375,2889.3115234375,11997.6953125,897.3599243164062,1237.6544189453125,345.5732116699219,244.6322784423828,306.2977294921875,1447.9332275390625,1444.4390869140625,835.817138671875,543.1326904296875,1475.788330078125,1097.4661865234375,172.44317626953125,3591.18798828125,1306.164306640625,3440.703125,5352.1630859375,10861.876953125,232.35818481445312
2024-06-20,3257.8349609375,1462.2857666015625,6141.63818359375,2879.409912109375,1237.486572265625,9393.9208984375,1584.2281494140625,712.7122802734375,307.3198547363281,1362.1087646484375,1515.67041015625,424.79278564453125,1179.648681640625,4761.712890625,197.0500030517578,2480.2119140625,1361.1494140625,823.5431518554688,586.4788818359375,667.7471313476562,2409.17724609375,1138.1444091796875,4222.115234375,1455.2718505859375,385.9206237792969,364.9808654785156,919.9469604492188,352.4568786621094,3561.236572265625,2827.6123046875,11906.9443359375,932.109619140625,1244.36669921875,340.94970703125,244.9025421142578,303.72418212890625,1462.8726806640625,1450.71826171875,827.141357421875,545.84716796875,1443.4073486328125,1095.133544921875,174.60804748535156,3577.5380859375,1317.46533203125,3414.46826171875,5332.5302734375,10770.650390625,229.8506317138672
2024-06-21,3187.7197265625,1478.3077392578125,6135.8193359375,2855.065185546875,1235.4398193359375,9364.90625,1578.131103515625,709.0498046875,300.471923828125,1396.527587890625,1512.4327392578125,422.1990661621094,1187.6798095703125,4731.0546875,193.9499969482422,2447.804443359375,1365.2987060546875,821.7672119140625,579.3486328125,675.6436157226562,2369.48046875,1139.964599609375,4302.87841796875,1471.885498046875,382.54736328125,360.3381042480469,927.1212768554688,354.3326721191406,3502.336181640625,2796.8369140625,11957.90625,925.5784301757812,1224.1070556640625,342.9992980957031,242.92062377929688,305.03436279296875,1443.515869140625,1459.3399658203125,819.8380126953125,549.048095703125,1439.7276611328125,1076.9185791015625,175.83932495117188,3599.736572265625,1323.8016357421875,3378.494384765625,5261.79150390625,10532.77734375,229.9209442138672
2024-06-24,3193.01708984375,1453.1800537109375,6224.87353515625,2860.20068359375,1226.10498046875,9504.3720703125,1586.8768310546875,703.8419189453125,305.2013854980469,1400.2259521484375,1475.9844970703125,416.4841613769531,1196.2740478515625,4755.85498046875,198.9199981689453,2496.390625,1358.6976318359375,825.0478515625,577.9026489257812,676.3839111328125,2370.35400390625,1151.2298583984375,4308.369140625,1466.5556640625,385.9206237792969,354.7967529296875,925.5874633789062,353.7140808105469,3498.967529296875,2871.535400390625,11940.1669921875,895.2659301757812,1239.6142578125,345.8115539550781,243.1458282470703,311.5851745605469,1430.88427734375,1447.9774169921875,816.3088989257812,560.8397827148438,1466.466552734375,1093.843017578125,173.90444946289062,3605.451904296875,1325.598388671875,3391.015869140625,5391.07958984375,10654.875,229.9209442138672
2024-06-25,3169.52880859375,1449.099853515625,6260.4755859375,2823.066162109375,1269.3846435546875,9421.1806640625,1602.5692138671875,703.1065063476562,305.15216064453125,1395.442626953125,1471.3731689453125,412.5716552734375,1200.9071044921875,4662.2685546875,202.27000427246094,2498.2265625,1365.3929443359375,844.2631225585938,589.321044921875,676.630615234375,2360.648193359375,1178.6307373046875,4226.35791015625,1480.7684326171875,385.9206237792969,358.490966796875,920.1943359375,355.5798645019531,3554.648193359375,2865.232421875,11874.7001953125,890.878662109375,1232.4609375,344.0002746582031,240.53330993652344,306.39129638671875,1443.46630859375,1457.197021484375,825.6708984375,581.7770385742188,1476.9656982421875,1086.547119140625,171.67640686035156,3625.90283203125,1350.234130859375,3381.177490234375,5334.1787109375,10714.34375,232.87374877929688
2024-06-26,3168.928955078125,1460.6934814453125,6102.8037109375,2827.90576171875,1283.31201171875,9240.4609375,1599.470703125,711.4301147460938,302.343994140625,1439.3785400390625,1451.162353515625,412.1320495605469,1199.2574462890625,4627.75390625,197.25,2533.26416015625,1361.3851318359375,839.40380859375,587.42626953125,665.970458984375,2373.654296875,1198.357421875,4218.7705078125,1479.56787109375,386.51318359375,355.6953430175781,909.6060180664062,358.82257080078125,3569.658203125,2808.211669921875,11954.720703125,876.9188842773438,1241.672119140625,348.0041809082031,241.2089385986328,305.7362060546875,1502.9013671875,1446.133544921875,828.7098388671875,581.6213989257812,1492.61669921875,1078.90380859375,168.62750244140625,3642.33984375,1336.332275390625,3351.663330078125,5359.1572265625,11007.6328125,232.10040283203125
2024-06-27,3173.57666015625,1478.3077392578125,6158.19482421875,2845.188720703125,1286.856201171875,9184.673828125,1602.3193359375,712.2798461914062,300.02850341796875,1455.453857421875,1452.9283447265625,410.63739013671875,1232.0242919921875,4602.46533203125,200.14999389648438,2617.9794921875,1371.9466552734375,836.7644653320312,591.61474609375,676.3839111328125,2389.717041015625,1200.226806640625,4214.52783203125,1510.9224853515625,388.01751708984375,353.0494689941406,933.3060302734375,365.2879943847656,3531.46435546875,2845.093017578125,11935.6103515625,918.1000366210938,1241.4271240234375,359.5391540527344,240.98374938964844,310.27496337890625,1519.304931640625,1458.6422119140625,827.3864135742188,574.2272338867188,1487.8084716796875,1077.6134033203125,170.19105529785156,3716.3037109375,1354.48974609375,3370.456787109375,5324.38720703125,11574.2607421875,239.41212463378906
2024-06-28,3175.57568359375,1470.943603515625,6151.43310546875,2880.940673828125,1263.1947021484375,9266.79296875,1587.3765869140625,707.1912841796875,301.407958984375,1424.1416015625,1452.8302001953125,416.00054931640625,1264.9097900390625,4562.580078125,200.55999755859375,2650.584716796875,1376.3785400390625,830.671875,593.4097290039062,684.5764770507812,2400.29638671875,1180.2540283203125,4221.11669921875,1504.5843505859375,387.3793640136719,357.5923767089844,921.7776489257812,359.69061279296875,3515.66162109375,2823.131591796875,11793.6025390625,937.9428100585938,1250.197265625,360.6831359863281,247.01959228515625,309.7135314941406,1553.89892578125,1487.048583984375,832.239013671875,566.5313720703125,1492.322265625,1089.3760986328125,170.04446411132812,3687.96484375,1352.6927490234375,3393.98583984375,5475.10693359375,11526.0537109375,241.3103485107422
2024-07-01,3182.222412109375,1467.3609619140625,6106.4833984375,2891.5576171875,1259.8502197265625,9296.783203125,1579.430419921875,723.21240234375,303.13226318359375,1433.954345703125,1451.162353515625,417.4512939453125,1255.2979736328125,4526.0634765625,203.97000122070312,2706.11865234375,1385.1011962890625,841.2290649414062,599.0940551757812,680.9243774414062,2431.403564453125,1192.3065185546875,4215.02685546875,1527.6802978515625,391.1628723144531,352.2507019042969,934.0482177734375,360.80810546875,3493.964111328125,2832.192138671875,11866.9091796875,953.0491333007812,1258.257080078125,352.4847412109375,245.8935089111328,308.4501037597656,1548.6875,1496.916015625,825.3768310546875,569.0123901367188,1491.586181640625,1086.49755859375,170.1031036376953,3757.91455078125,1392.1761474609375,3421.154052734375,5510.87548828125,11759.92578125,247.16909790039062
2024-07-02,3151.637451171875,1467.7093505859375,6063.8212890625,2889.385009765625,1251.364013671875,9168.8740234375,1578.980712890625,712.1655883789062,301.6050109863281,1399.3875732421875,1460.531982421875,421.2319030761719,1258.5677490234375,4516.4951171875,209.08999633789062,2722.545654296875,1396.369873046875,853.7597045898438,588.1741943359375,685.760986328125,2412.040283203125,1171.3992919921875,4241.931640625,1556.72998046875,387.92633056640625,350.4535217285156,928.4572143554688,353.1253967285156,3592.990478515625,2821.654052734375,11802.177734375,910.4720458984375,1246.6695556640625,353.1043701171875,247.60513305664062,309.5730895996094,1553.6756591796875,1489.9888916015625,809.8878173828125,549.680419921875,1495.4622802734375,1096.87060546875,170.5623779296875,3794.944091796875,1392.2235107421875,3389.449462890625,5531.10791015625,11709.841796875,252.25453186035156
2024-07-03,3189.368896484375,1503.3360595703125,6158.39453125,2889.335693359375,1277.9207763671875,9189.501953125,1593.373779296875,721.4284057617188,309.88165283203125,1400.275146484375,1455.7244873046875,426.3753356933594,1269.5625,4581.47314453125,208.44000244140625,2721.9501953125,1396.55859375,872.531005859375,594.5067749023438,682.7011108398438,2436.499267578125,1182.2218017578125,4271.78125,1562.8280029296875,390.4790954589844,350.7530517578125,940.4804077148438,361.3269348144531,3580.952880859375,2834.259765625,11881.6103515625,919.8948364257812,1250.123779296875,355.249267578125,247.47006225585938,313.64398193359375,1541.019287109375,1491.4342041015625,823.4161987304688,554.652099609375,1505.176513671875,1137.9163818359375,172.35067749023438,3745.681884765625,1399.4581298828125,3350.167724609375,5489.3447265625,11727.7705078125,252.6294708251953
